,articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
0,힐스테이트태전에듀포레2차(C10블록),아파트,매매,3/23,"6억 4,000",112,84,2003동,http://land.mk.co.kr/rd/rd.php?UID=2232411012
1,힐스테이트태전에듀포레2차(C10블록),아파트,매매,5/23,6억,112,84,2004동,http://land.mk.co.kr/rd/rd.php?UID=2232319866
2,힐스테이트태전에듀포레2차(C10블록),아파트,매매,14/23,"6억 6,000",98C,72,2003동,http://land.mk.co.kr/rd/rd.php?UID=2232224335
3,힐스테이트태전에듀포레2차(C10블록),아파트,매매,11/20,"7억 3,000",112,84,2005동,http://land.mk.co.kr/rd/rd.php?UID=2232217542
4,힐스테이트태전에듀포레2차(C10블록),아파트,매매,3/23,"6억 5,000",98C,72,2002동,http://www.neonet.co.kr/rd/rd.php?UID=2232199840
5,힐스테이트태전에듀포레2차(C10블록),아파트,매매,2/20,"7억 9,000",112,84,2005동,http://homesdid.co.kr/rd.asp?UID=2232095111
6,힐스테이트태전에듀포레2차(C10블록),아파트,전세,2/20,"3억 5,000",112,84,2005동,http://homesdid.co.kr/rd.asp?UID=2232122028
7,힐스테이트태전에듀포레2차(C10블록),아파트,매매,3/20,"6억 3,000",112,84,2005동,http://land.mk.co.kr/rd/rd.php?UID=2232110487
8,힐스테이트태전에듀포레2차(C10블록),아파트,전세,3/20,"4억 3,000",112,84,2005동,http://land.mk.co.kr/rd/rd.php?UID=2231980954
9,힐스테이트태전에듀포레2차(C10블록),아파트,매매,23/23,"5억 1,000",98C,72,2003동,https://realestate.hankyung.com/naver-listing?UID=2232082189
10,힐스테이트태전에듀포레2차(C10블록),아파트,매매,19/23,5억,85A,62,2001동,https://realestate.hankyung.com/naver-listing?UID=2231916626
11,힐스테이트태전에듀포레2차(C10블록),아파트,매매,고/23,"5억 5,000",97A,72,2002동,http://land.mk.co.kr/rd/rd.php?UID=2232318473
12,힐스테이트태전에듀포레2차(C10블록),아파트,전세,고/23,4억,97A,72,2002동,http://homesdid.co.kr/rd.asp?UID=2232391002
13,힐스테이트태전에듀포레2차(C10블록),아파트,전세,중/23,"3억 8,000",98C,72,2003동,http://land.mk.co.kr/rd/rd.php?UID=2232193652
14,힐스테이트태전에듀포레2차(C10블록),아파트,매매,고/23,"7억 2,000",97D,72,2003동,http://land.mk.co.kr/rd/rd.php?UID=2232220482
