articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
e편한세상송도,아파트,매매,11/37,"6억 5,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2237465462
e편한세상송도,아파트,전세,39/39,3억,114A,84,107동,http://www.serve.co.kr/naver/rd.asp?UID=2237597007
e편한세상송도,아파트,전세,3/39,"2억 3,000",95B-1,70,113동,http://www.serve.co.kr/naver/rd.asp?UID=2237556056
e편한세상송도,아파트,전세,13/38,"2억 3,000",95B,70,106동,http://www.serve.co.kr/naver/rd.asp?UID=2237549253
e편한세상송도,아파트,매매,15/39,"5억 3,000",95B-1,70,113동,http://rego.kr/rd/rd.asp?UID=2237492408
e편한세상송도,아파트,전세,22/38,"2억 2,000",95B,70,106동,http://rego.kr/rd/rd.asp?UID=2237572315
e편한세상송도,아파트,월세,33/38,"3,000",95A,70,106동,https://realestate.hankyung.com/naver-listing?UID=2237598109
e편한세상송도,아파트,월세,7/35,"3,000",95A,70,105동,https://realestate.hankyung.com/naver-listing?UID=2237510224
e편한세상송도,아파트,전세,33/35,"2억 5,000",95A,70,105동,http://rego.kr/rd/rd.asp?UID=2237600750
e편한세상송도,아파트,전세,33/38,"2억 7,000",95A,70,106동,https://realestate.hankyung.com/naver-listing?UID=2237600686
e편한세상송도,아파트,매매,24/33,"7억 7,000",114A,84,108동,http://rter2.com/naver/rd?UID=2237426618
e편한세상송도,아파트,전세,5/39,3억,113B,84,107동,http://homesdid.co.kr/rd.asp?UID=2237610402
e편한세상송도,아파트,월세,14/39,"3,000",114A,84,107동,https://realestate.hankyung.com/naver-listing?UID=2237549764
e편한세상송도,아파트,전세,5/38,"2억 3,000",95B-1,70,102동,http://rego.kr/rd/rd.asp?UID=2237589231
e편한세상송도,아파트,전세,37/39,3억,95B-1,70,115동,http://rego.kr/rd/rd.asp?UID=2237532034
e편한세상송도,아파트,월세,20/38,"3,000",95B,70,103동,http://homesdid.co.kr/rd.asp?UID=2237441039
e편한세상송도,아파트,전세,13/39,"3억 2,000",113B,84,111동,http://homesdid.co.kr/rd.asp?UID=2237445053
e편한세상송도,아파트,매매,12/39,"5억 3,000",95B-1,70,115동,http://rego.kr/rd/rd.asp?UID=2237620111
e편한세상송도,아파트,매매,2/38,"5억 3,000",95A,70,103동,http://rter2.com/naver/rd?UID=2237485918
e편한세상송도,아파트,전세,28/39,"2억 3,000",95B-1,70,101동,http://homesdid.co.kr/rd.asp?UID=2237442849
e편한세상송도,아파트,매매,5/37,"7억 2,000",114A,84,110동,http://rego.kr/rd/rd.asp?UID=2237284740
e편한세상송도,아파트,매매,2/39,7억,114A,84,111동,http://rego.kr/rd/rd.asp?UID=2237298932
e편한세상송도,아파트,매매,27/39,"7억 7,000",114A,84,107동,http://rego.kr/rd/rd.asp?UID=2237404424
e편한세상송도,아파트,매매,30/39,"6억 8,000",114A,84,107동,http://homesdid.co.kr/rd.asp?UID=2237283648
e편한세상송도,아파트,월세,20/38,"3,000",95A,70,106동,http://homesdid.co.kr/rd.asp?UID=2237440617
