articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
더샵레이크사이드,아파트,매매,13/15,"2억 6,000",110,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2234837216
더샵레이크사이드,아파트,매매,14/15,3억,131,101,122동,http://land.mk.co.kr/rd/rd.php?UID=2234447162
더샵레이크사이드,아파트,전세,14/15,"2억 7,000",164,133,105동,http://land.mk.co.kr/rd/rd.php?UID=2234161647
더샵레이크사이드,아파트,월세,중/15,"1,000",110,84,113동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235732295
더샵레이크사이드,아파트,매매,7/15,"3억 6,000",164,133,105동,http://www.serve.co.kr/naver/rd.asp?UID=2234847219
더샵레이크사이드,아파트,매매,8/15,"5억 1,000",197,164,118동,http://land.mk.co.kr/rd/rd.php?UID=2234801827
더샵레이크사이드,아파트,매매,고/14,"3억 4,000",164,133,102동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235544855
더샵레이크사이드,아파트,매매,고/15,"2억 6,000",110,84,111동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235266820
더샵레이크사이드,아파트,매매,저/15,"2억 7,000",131,101,122동,http://land.mk.co.kr/rd/rd.php?UID=2234747714
더샵레이크사이드,아파트,월세,7/15,"2,000",110,84,110동,http://land.mk.co.kr/rd/rd.php?UID=2233542395
더샵레이크사이드,아파트,매매,고/15,5억,197,164,118동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2234629274
더샵레이크사이드,아파트,매매,1/15,"3억 1,000",164,133,105동,http://land.mk.co.kr/rd/rd.php?UID=2235176536
더샵레이크사이드,아파트,매매,7/15,"2억 4,000",110,84,110동,http://land.mk.co.kr/rd/rd.php?UID=2233540855
더샵레이크사이드,아파트,매매,15/15,"2억 7,000",110,84,113동,http://land.mk.co.kr/rd/rd.php?UID=2233158895
더샵레이크사이드,아파트,매매,13/15,"2억 3,000",110,84,116동,http://www.serve.co.kr/naver/rd.asp?UID=2234077905
더샵레이크사이드,아파트,매매,4/15,"2억 8,500",131,101,123동,https://www.rfine.kr/rd/rd.php?UID=2234809514
더샵레이크사이드,아파트,매매,고/15,"2억 3,000",110,84,112동,http://land.mk.co.kr/rd/rd.php?UID=2235565364
