articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
그린빌2차,아파트,매매,6/15,"2억 9,500",110B,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2235529059
그린빌2차,아파트,전세,5/15,"2억 6,000",108,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2235549959
그린빌2차,아파트,매매,5/15,3억,108,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2235555963
그린빌2차,아파트,전세,13/15,"2억 5,000",96,74,206동,http://rter2.com/naver/rd?UID=2235678592
그린빌2차,아파트,매매,12/15,"3억 6,000",108,84,207동,http://rter2.com/naver/rd?UID=2235526676
그린빌2차,아파트,매매,4/15,"2억 7,500",108,84,208동,http://land.mk.co.kr/rd/rd.php?UID=2235354810
그린빌2차,아파트,매매,2/15,"2억 6,500",96,74,204동,http://land.mk.co.kr/rd/rd.php?UID=2235233842
그린빌2차,아파트,매매,13/15,"2억 6,000",96,74,206동,http://land.mk.co.kr/rd/rd.php?UID=2235654639
그린빌2차,아파트,매매,13/15,"2억 8,000",108,84,203동,http://rter2.com/naver/rd?UID=2235652080
그린빌2차,아파트,매매,5/15,"2억 6,500",108,84,207동,http://rter2.com/naver/rd?UID=2235778899
그린빌2차,아파트,매매,15/15,"3억 7,000",108,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2235691272
그린빌2차,아파트,매매,4/15,"2억 7,000",108,84,209동,http://land.mk.co.kr/rd/rd.php?UID=2235652580
그린빌2차,아파트,전세,14/15,"2억 6,000",108,84,209동,http://rter2.com/naver/rd?UID=2234921999
그린빌2차,아파트,매매,1/15,"2억 4,000",96,74,206동,http://rter2.com/naver/rd?UID=2234924507
그린빌2차,아파트,매매,2/15,"2억 5,000",96,74,205동,http://rter2.com/naver/rd?UID=2235526500
그린빌2차,아파트,매매,8/15,"2억 7,500",108,84,201동,http://rter2.com/naver/rd?UID=2234993905
그린빌2차,아파트,매매,1/15,"2억 7,000",108,84,201동,http://land.mk.co.kr/rd/rd.php?UID=2235018835
그린빌2차,아파트,매매,15/15,"3억 1,000",96,74,205동,http://rter2.com/naver/rd?UID=2234994589
그린빌2차,아파트,매매,7/15,"2억 5,500",96,74,204동,http://land.mk.co.kr/rd/rd.php?UID=2235234182
그린빌2차,아파트,매매,4/15,"2억 7,000",108,84,203동,http://rter2.com/naver/rd?UID=2235326618
그린빌2차,아파트,매매,5/15,"3억 2,000",110B,84,208동,http://rter2.com/naver/rd?UID=2234768096
그린빌2차,아파트,매매,4/15,"3억 4,000",108,84,210동,http://rter2.com/naver/rd?UID=2234767549
그린빌2차,아파트,매매,11/15,"2억 9,500",108,84,208동,http://rter2.com/naver/rd?UID=2234696909
그린빌2차,아파트,매매,14/15,"2억 9,000",108,84,202동,http://land.mk.co.kr/rd/rd.php?UID=2234627190
그린빌2차,아파트,매매,14/15,"3억 1,000",108,84,209동,http://land.mk.co.kr/rd/rd.php?UID=2234468381
그린빌2차,아파트,매매,2/15,"2억 7,000",108,84,207동,http://rter2.com/naver/rd?UID=2234442146
그린빌2차,아파트,매매,6/15,"2억 8,000",108,84,202동,http://land.mk.co.kr/rd/rd.php?UID=2233872572
그린빌2차,아파트,매매,5/15,"2억 8,000",96,74,206동,http://www.neonet.co.kr/rd/rd.php?UID=2233240528
그린빌2차,아파트,매매,14/15,"3억 2,000",108,84,209동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2234097313
그린빌2차,아파트,매매,4/15,"2억 5,000",96,74,205동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2234514889
그린빌2차,아파트,매매,8/15,"2억 9,000",96,74,205동,http://rter2.com/naver/rd?UID=2234442235
그린빌2차,아파트,매매,6/15,"3억 1,000",108,84,203동,http://rter2.com/naver/rd?UID=2234441356
그린빌2차,아파트,매매,7/15,"2억 8,000",108,84,207동,http://rter2.com/naver/rd?UID=2233735005
그린빌2차,아파트,매매,2/15,"2억 6,500",108,84,202동,http://land.mk.co.kr/rd/rd.php?UID=2234344270
그린빌2차,아파트,매매,11/15,"2억 7,500",108,84,202동,http://land.mk.co.kr/rd/rd.php?UID=2234146318
그린빌2차,아파트,매매,11/15,"2억 9,000",96,74,204동,http://rter2.com/naver/rd?UID=2234116454
그린빌2차,아파트,매매,13/15,"3억 3,000",108,84,202동,http://rter2.com/naver/rd?UID=2233848927
그린빌2차,아파트,전세,2/15,"2억 3,000",108,84,207동,http://rter2.com/naver/rd?UID=2233105420
그린빌2차,아파트,전세,6/15,"2억 6,000",108,84,209동,http://land.mk.co.kr/rd/rd.php?UID=2233718688
그린빌2차,아파트,매매,8/15,"2억 6,000",96,74,205동,http://rter2.com/naver/rd?UID=2233049379
그린빌2차,아파트,매매,7/15,"3억 2,000",108,84,201동,http://land.mk.co.kr/rd/rd.php?UID=2232903193
그린빌2차,아파트,매매,10/15,"3억 3,000",108,84,201동,http://rter2.com/naver/rd?UID=2232931837
그린빌2차,아파트,매매,3/15,"2억 7,000",96,74,206동,http://rter2.com/naver/rd?UID=2232932005
그린빌2차,아파트,매매,6/15,"2억 7,000",96,74,205동,http://land.mk.co.kr/rd/rd.php?UID=2233513574
그린빌2차,아파트,매매,6/15,3억,108,84,209동,http://www.serve.co.kr/naver/rd.asp?UID=2233564305
그린빌2차,아파트,매매,8/15,"2억 9,500",110B,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2231969590
그린빌2차,아파트,매매,6/15,"3억 2,000",108,84,208동,http://rter2.com/naver/rd?UID=2232228513
그린빌2차,아파트,매매,13/15,3억 500,108,84,202동,http://rter2.com/naver/rd?UID=2232228803
그린빌2차,아파트,매매,9/15,3억,108,84,209동,http://land.mk.co.kr/rd/rd.php?UID=2232348636
그린빌2차,아파트,매매,14/15,"3억 1,000",108,84,202동,http://rter2.com/naver/rd?UID=2233144483
그린빌2차,아파트,매매,13/15,"3억 3,000",108,84,209동,http://rter2.com/naver/rd?UID=2233049961
그린빌2차,아파트,매매,3/15,"2억 7,500",108,84,209동,http://land.mk.co.kr/rd/rd.php?UID=2232854307
그린빌2차,아파트,매매,6/15,"3억 3,000",108,84,209동,http://rter2.com/naver/rd?UID=2232746636
그린빌2차,아파트,매매,3/15,"2억 7,000",110B,84,207동,http://land.mk.co.kr/rd/rd.php?UID=2231663628
그린빌2차,아파트,매매,5/15,"2억 6,000",96,74,206동,http://land.mk.co.kr/rd/rd.php?UID=2231437199
그린빌2차,아파트,매매,6/15,"3억 1,000",108,84,210동,http://land.mk.co.kr/rd/rd.php?UID=2231949482
그린빌2차,아파트,매매,1/15,"2억 8,000",108,84,208동,http://rter2.com/naver/rd?UID=2231848568
그린빌2차,아파트,전세,2/15,"2억 3,000",108,84,207동,http://rter2.com/naver/rd?UID=2231479578
그린빌2차,아파트,매매,14/15,"3억 2,000",108,84,203동,http://land.mk.co.kr/rd/rd.php?UID=2231647996
그린빌2차,아파트,매매,7/15,"2억 8,000",110B,84,207동,http://rter2.com/naver/rd?UID=2231237423
그린빌2차,아파트,전세,고/15,"2억 6,000",108,84,202동,http://rter2.com/naver/rd?UID=2232191441
그린빌2차,아파트,전세,저/15,"2억 4,000",96,74,206동,http://land.mk.co.kr/rd/rd.php?UID=2231439510
그린빌2차,아파트,매매,중/15,"3억 2,000",108,84,201동,http://rter2.com/naver/rd?UID=2231236192
그린빌2차,아파트,전세,5/15,"2억 6,000",108,84,207동,http://www.karhanbang.com/naver_link.asp?UID=2235237149
그린빌2차,아파트,매매,2/15,"2억 8,000",96,74,204동,http://www.karhanbang.com/naver_link.asp?UID=2235077098
그린빌2차,아파트,매매,8/15,"2억 9,500",110B,84,207동,http://www.karhanbang.com/naver_link.asp?UID=2233880382
그린빌2차,아파트,매매,3/15,"2억 7,000",110B,84,207동,http://www.karhanbang.com/naver_link.asp?UID=2231731331
백석그린타워,아파트,매매,5/6,"1억 1,000",75,60,1동,http://rter2.com/naver/rd?UID=2233733054
백석그린타워,아파트,매매,6/6,"1억 2,000",75,60,1동,http://rter2.com/naver/rd?UID=2234440918
백석그린타워,아파트,매매,중/6,"1억 4,000",105B,84,1동,http://rter2.com/naver/rd?UID=2233019583
백석더샵,아파트,월세,3/20,2억,111C,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2235465462
백석더샵,아파트,매매,3/20,"4억 5,000",111C,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2235464758
백석더샵,아파트,매매,4/25,"4억 9,000",112A,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2235464206
백석더샵,아파트,매매,20/20,"4억 5,500",110B,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2235694596
백석더샵,아파트,전세,10/20,"3억 6,800",110B,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2235695601
백석더샵,아파트,매매,11/21,"4억 6,000",110B,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2235792227
백석더샵,아파트,매매,11/22,"5억 1,000",110B,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2235713712
백석더샵,아파트,매매,14/25,5억,110B,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2235713339
백석더샵,아파트,매매,4/20,"4억 3,000",110B,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2235524904
백석더샵,아파트,전세,15/22,"3억 6,000",112A,84,105동,http://rter2.com/naver/rd?UID=2235541007
백석더샵,아파트,전세,8/20,"3억 3,000",112A,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2235582152
백석더샵,아파트,매매,8/20,"4억 8,000",112A,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2235582832
백석더샵,아파트,매매,18/20,"4억 5,000",110B,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2235335844
백석더샵,아파트,매매,20/22,"5억 1,000",112A,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2235271359
백석더샵,아파트,매매,22/25,"4억 5,000",111C,84,106동,http://land.cakcr.co.kr/partner/naver/redirect/?UID=2235448401
백석더샵,아파트,매매,20/25,"5억 1,000",112A,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2235644298
백석더샵,아파트,매매,2/20,"4억 7,000",111C,84,102동,https://realestate.hankyung.com/naver-listing?UID=2235472514
백석더샵,아파트,매매,8/20,"5억 3,000",111C,84,103동,http://land.mk.co.kr/rd/rd.php?UID=2235148286
백석더샵,아파트,전세,20/20,"3억 5,000",110B,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2235173954
백석더샵,아파트,매매,13/25,"4억 8,000",110B,84,106동,http://rter2.com/naver/rd?UID=2235211941
백석더샵,아파트,매매,13/22,"5억 1,500",112A,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2235146853
백석더샵,아파트,전세,20/22,"3억 5,000",112A,84,105동,http://land.mk.co.kr/rd/rd.php?UID=2234870996
백석더샵,아파트,매매,10/22,"4억 7,000",112A,84,107동,http://rter2.com/naver/rd?UID=2234751725
백석더샵,아파트,매매,14/21,5억,110B,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2234778575
백석더샵,아파트,매매,10/22,"4억 9,000",112A,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2234833143
백석더샵,아파트,매매,9/22,5억,110B,84,105동,http://land.mk.co.kr/rd/rd.php?UID=2234832808
백석더샵,아파트,매매,7/21,"4억 5,000",110B,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2234586134
백석더샵,아파트,전세,3/22,"3억 4,000",112A,84,107동,http://land.mk.co.kr/rd/rd.php?UID=2234693565
백석더샵,아파트,전세,5/20,"3억 3,000",110B,84,102동,http://rter2.com/naver/rd?UID=2234577197
백석더샵,아파트,매매,16/21,"4억 9,800",112A,84,101동,http://land.mk.co.kr/rd/rd.php?UID=2234385268
백석더샵,아파트,전세,23/25,"3억 5,000",112A,84,106동,http://rter2.com/naver/rd?UID=2234286402
백석더샵,아파트,월세,5/20,2억,110B,84,102동,http://rter2.com/naver/rd?UID=2234279910
백석더샵,아파트,매매,5/25,"5억 2,000",110B,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2234389857
백석더샵,아파트,매매,2/20,"4억 6,000",112A,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2234419877
백석더샵,아파트,매매,21/22,"5억 3,000",110B,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2234160906
백석더샵,아파트,매매,17/25,"5억 2,000",112A,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2234121714
백석더샵,아파트,매매,11/25,5억 500,112A,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2234122159
백석더샵,아파트,매매,7/25,"5억 1,000",111C,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2234119988
백석더샵,아파트,매매,20/20,"4억 8,000",112A,84,102동,http://land.mk.co.kr/rd/rd.php?UID=2234051002
백석더샵,아파트,매매,10/22,"4억 6,000",110B,84,104동,http://land.mk.co.kr/rd/rd.php?UID=2233940643
백석더샵,아파트,전세,중/22,4억,112A,84,105동,http://land.mk.co.kr/rd/rd.php?UID=2234720017
백석더샵,아파트,매매,23/25,"4억 5,000",111C,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2233781399
백석더샵,아파트,월세,13/25,"2억 5,000",110B,84,106동,http://land.mk.co.kr/rd/rd.php?UID=2233777031
