articleName,realEstateTypeName,tradeTypeName,floorInfo,dealOrWarrantPrc,areaName,area2,buildingName,cpPcArticleUrl
천안레이크타운2차푸르지오,아파트,매매,31/35,"5억 8,000",105A,74,209동,http://land.mk.co.kr/rd/rd.php?UID=2235420512
천안레이크타운2차푸르지오,아파트,전세,29/29,"2억 6,000",88A,62,202동,http://land.mk.co.kr/rd/rd.php?UID=2235696421
천안레이크타운2차푸르지오,아파트,전세,30/31,"3억 3,000",115A-2,84,206동,http://land.mk.co.kr/rd/rd.php?UID=2235703503
천안레이크타운2차푸르지오,아파트,전세,12/34,"3억 5,000",116B,84,212동,http://land.mk.co.kr/rd/rd.php?UID=2235735702
천안레이크타운2차푸르지오,아파트,매매,21/31,"5억 3,000",115A-2,84,206동,http://www.serve.co.kr/naver/rd.asp?UID=2235659548
천안레이크타운2차푸르지오,아파트,매매,17/39,"5억 2,000",115A-2,84,208동,http://land.mk.co.kr/rd/rd.php?UID=2235720884
천안레이크타운2차푸르지오,아파트,매매,19/34,"6억 4,000",116B,84,210동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235714271
천안레이크타운2차푸르지오,아파트,전세,33/39,"3억 2,000",116B,84,208동,http://www.neonet.co.kr/rd/rd.php?UID=2235743702
천안레이크타운2차푸르지오,아파트,매매,12/29,"3억 7,000",88A,62,201동,http://land.mk.co.kr/rd/rd.php?UID=2235714993
천안레이크타운2차푸르지오,아파트,전세,14/29,"2억 8,000",89B,62,202동,http://land.mk.co.kr/rd/rd.php?UID=2235705710
천안레이크타운2차푸르지오,아파트,매매,4/39,6억,116B,84,204동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235714959
천안레이크타운2차푸르지오,아파트,전세,27/39,4억,116B,84,208동,http://www.neonet.co.kr/rd/rd.php?UID=2235781709
천안레이크타운2차푸르지오,아파트,매매,15/39,6억,116B,84,203동,http://land.mk.co.kr/rd/rd.php?UID=2235747885
천안레이크타운2차푸르지오,아파트,매매,28/29,"4억 9,000",88A,62,202동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235773395
천안레이크타운2차푸르지오,아파트,전세,7/29,"2억 7,000",88A,62,201동,http://land.mk.co.kr/rd/rd.php?UID=2235768145
천안레이크타운2차푸르지오,아파트,전세,18/35,3억,105A,74,209동,https://www.r114.com/z/depot/public/ArticleFromNbp.r114?UID=2235749204
천안레이크타운2차푸르지오,아파트,월세,9/39,"1억 5,000",116B,84,203동,http://land.mk.co.kr/rd/rd.php?UID=2235596273
천안레이크타운2차푸르지오,아파트,전세,28/34,"3억 5,000",115C,84,212동,http://land.mk.co.kr/rd/rd.php?UID=2235598408
